ocity_code,dcity_code,WILL_Idx,REAL_Idx,O_X,O_Y,D_X,D_Y
110000,411300,0.40516666,0.0647778,116.4126385,40.18563339,112.283537,33.04422256
110000,411400,0.5678889,0.1407778,116.4126385,40.18563339,115.6975978,34.2891748
110000,411500,0.56472224,0.10272222,116.4126385,40.18563339,114.8834076,32.08134905
110000,411600,0.86594446,0.19555554,116.4126385,40.18563339,114.8776668,33.72195465
110000,411700,0.48433334,0.09822222,116.4126385,40.18563339,114.1507746,32.92334957
110000,419001,0.04088888,0.00655556,116.4126385,40.18563339,112.3924557,35.09959215
110000,420100,0.74150002,0.04511112,116.4126385,40.18563339,114.3427562,30.62396128
110000,420200,0.02811112,0.00344444,116.4126385,40.18563339,115.0246889,29.92738043
110000,420300,0.11416668,0.0106111,116.4126385,40.18563339,110.4410071,32.45683699
110000,420500,0.10233334,0.00555556,116.4126385,40.18563339,111.1352881,30.74752984
110000,420600,0.14022222,0.01644444,116.4126385,40.18563339,111.9363452,31.93204701
110000,420700,0.00455556,0.00061112,116.4126385,40.18563339,114.9370231,30.31158663
110000,420800,0.03827778,0.00505556,116.4126385,40.18563339,112.6087054,31.0705521
110000,420900,0.0886111,0.01394444,116.4126385,40.18563339,113.8790148,31.11816996
110000,421000,0.07566666,0.00750002,116.4126385,40.18563339,112.6622183,29.85392541
110000,421100,0.11450002,0.01555558,116.4126385,40.18563339,115.3396675,30.71605164
110000,421200,0.03927778,0.00555556,116.4126385,40.18563339,114.1752253,29.62420671
110000,421300,0.0723889,0.01261112,116.4126385,40.18563339,113.4242251,31.82897534
110000,422800,0.13394444,0.0046111,116.4126385,40.18563339,109.5494321,30.19150585
110000,429004,0.00788888,0.00144444,116.4126385,40.18563339,113.3757464,30.28988414
110000,429005,0.00683334,0.00055556,116.4126385,40.18563339,112.7567169,30.339185
110000,429006,0.00761112,0.00161112,116.4126385,40.18563339,113.1115658,30.64526918
110000,429021,0.00772222,0.00055556,116.4126385,40.18563339,110.4755126,31.59150052
110000,430100,0.5018889,0.01722222,116.4126385,40.18563339,113.1529965,28.22714474
110000,430200,0.01561112,0.00122222,116.4126385,40.18563339,113.5173744,27.11883783
110000,430300,0.01033334,0.00083334,116.4126385,40.18563339,112.5397865,27.7020408
110000,430400,0.01538888,0.0015,116.4126385,40.18563339,112.574186,26.79428249
110000,430500,0.01061112,0.00061112,116.4126385,40.18563339,110.8744666,26.91332644
110000,430600,0.04383334,0.00399998,116.4126385,40.18563339,113.2545027,29.06597169
110000,430700,0.05100002,0.00438892,116.4126385,40.18563339,111.5196482,29.29994992
110000,430800,0.12005554,0.00305556,116.4126385,40.18563339,110.5266391,29.39245758
110000,430900,0.01494444,0.00161112,116.4126385,40.18563339,111.8299887,28.32127082
110000,431000,0.02533334,0.00116668,116.4126385,40.18563339,113.1363485,25.81447244
110000,431300,0.00683334,0.00061112,116.4126385,40.18563339,111.2018135,27.85966583
110000,433100,0.02077778,0.00055556,116.4126385,40.18563339,109.7270331,28.69487233
110000,440100,0.61727776,0.02044446,116.4126385,40.18563339,113.5390412,23.33085285
110000,440300,0.47433332,0.01566664,116.4126385,40.18563339,113.9657025,22.66431547
110000,440400,0.11388888,0.00322222,116.4126385,40.18563339,113.3320021,22.16274376
110000,440500,0.02666666,0.00116668,116.4126385,40.18563339,116.5769709,23.27728498
110000,440600,0.12477778,0.00533332,116.4126385,40.18563339,112.9444511,23.00652758
110000,440800,0.01333334,0.00066666,116.4126385,40.18563339,109.9811848,21.06375788
110000,441200,0.00577778,0.00055556,116.4126385,40.18563339,112.2053286,23.5377071
110000,441300,0.04044444,0.00205556,116.4126385,40.18563339,114.502461,23.23613755
110000,441900,0.1265,0.00566668,116.4126385,40.18563339,113.7011046,22.93821441
